xid,#,Companies,Company ID,Deal ID,Deal Date,Announced Date,Deal Size,Pre-money Valuation,Post Valuation,% Acquired,Price per Share,Debt Raised in Round,Raised to Date,Deal Class,Deal Type,Deal Size Status,Post Valuation Status,Investors,New Investors,Lead/Sole Investors,Employees,Revenue Growth since last debt deal,Revenue,EBITDA,Total Debt (from financials),Deal Synopsis,Financing Status Note,CEO (at time of deal),CEO PBId
118408,118159,Apptimize,57865-24,31132-81T,22/01/2014 00:00,04/09/2013 00:00,2.1,,,,,,2.1,Venture Capital,Seed Round,Actual,,"{'41716-90': 'Andreessen Horowitz', '105899-14': 'Charlie Cheever (Charlie Cheever)', '106071-22': 'Chintaka Ranatunga (Chintaka Ranatunga)', '106166-53': 'Chung-Man Tam (Chung-Man Tam)', '106397-47': 'Dana Marotto (Dana Marotto)', '61223-14': 'DDBK PARTNERS', '106429-78': 'Eric Kwan (Eric Kwan)', '105876-64': 'Eric Ries (Eric Ries)', '106316-65': 'Farzad Nazem (Farzad Nazem)', '61222-96': 'GCINNOVATION', '124485-76': 'Greg Brockman (Greg Brockman)', '49063-60': 'GV (Richard Miner)', '106503-49': 'Hironori Maeda (Hironori Maeda)', '105974-65': 'Jonathan Abrams (Jonathan Abrams)', '61223-05': 'Jotter Investment', '10573-75': 'Maverick Capital', '51472-45': 'Merus Capital', '105951-88': 'Oliver Jung (Oliver Jung)', '106403-05': 'Raj Fernando (Raj Fernando)', '107752-33': 'Saad AlSogair (Saad AlSogair)', '54736-84': 'Starling Ventures', '52173-28': 'Start Fund', '61664-95': 'Tenso.com', '119685-07': 'Timothy Abbott (Timothy Abbott)', '49922-29': 'XG Ventures', '40420-36': 'Y Combinator'}","Andreessen Horowitz, Charlie Cheever, Chintaka Ranatunga, Chung-Man Tam, Dana Marotto, DDBK PARTNERS, Eric Kwan, Eric Ries, Farzad Nazem, GCINNOVATION, Greg Brockman, GV, Hironori Maeda, Jonathan Abrams, Jotter Investment, Maverick Capital, Merus Capital, Oliver Jung, Raj Fernando, Saad AlSogair, Starling Ventures, Start Fund, Tenso.com, Timothy Abbott",,,,,,,"The company raised $2.1 million of Seed funding from Andreessen Horowitz, Start Fund, Maverick, GCINNOVATION, Ken Ross, Dana Marotto, Google Ventures, Hart Lambur, Ting Yin Kwan, Waseem Daher, Jeff Arnold,Tim Abbott, Oliver Jung, Farzad Nazem and Noosheen Hashemi, Arram Sabeti, Jotter Investment, Raj Fernando, Merus Capital, Beenos Partners, XG Ventures, Steven Fan, Starling Ventures, Charles Cheever, Andrew Valiente, Wayne Pan, DDBK PARTNERS, Albert Sheu, Tom Moss's AngelList Syndicate, Chung-Man Tam, Paul Graham, Hironori Maeda, Chintaka Ranatunga, Eric Kwan, Eric Ries, Jonathan Abrams and Charlie Cheever on January 22, 2014. Greg Brockman also participated. Saad AlSogair also participated.","The company was acquired by Airship for an undisclosed amount on August 27, 2019.",{'51456-79P': 'Nancy Hua'},51456-79P
118944,118695,Apportable,54517-60,31410-82T,05/02/2014 00:00,02/12/2013 00:00,5,,,,,,7.5,Venture Capital,Early Stage VC,Actual,,"{'66182-95': '11.2 Capital', '55436-86': 'AME Cloud Ventures', '61372-27': 'DHVC (Shoucheng Zhang)', '109457-56': 'Eastlink Capital', '49063-60': 'GV', '54726-76': 'Initialized Capital Management', '40420-36': 'Y Combinator'}","11.2 Capital, AME Cloud Ventures, DHVC, Initialized Capital Management",,53,,,,,"The company raised $5 million of venture funding from GV, Danhua Capital and Initialized Capital Management on February 5, 2014. AME Cloud Ventures, Eastlink Capital, 11.2 Capital and Y Combinator also participated in the round.",The company was acquired by Google (NASDAQ: GOOG) for an undisclosed amount in March of 2015. The company is no longer actively tracked by PitchBook.,{'41408-83P': 'Collin Jackson'},41408-83P
118951,118702,Celery (Financial Software),57074-32,31436-65T,05/02/2014 00:00,,2,,,,,,2,Venture Capital,Seed Round,Actual,,"{'57017-26': 'Boost VC', '126448-66': 'Elementum Ventures', '10123-03': 'General Catalyst', '106019-47': 'Max Levchin (Max Levchin)', '50980-60': 'SV Angel', '114136-57': 'Venture Initiation Program', '40420-36': 'Y Combinator'}","Boost VC, Elementum Ventures, General Catalyst, Max Levchin, Venture Initiation Program",,,,,,,"The company raised $2 million of seed funding from Y Combinator, Boost VC, SV Angel, General Catalyst, Elementum Ventures, Wharton Venture Initiation Program and individual investor Max Levchin on February 5, 2014.","The company was acquired by Indiegogo for an undisclosed amount on May 10, 2016.The company is no longer actively tracked by PitchBook.",{'49652-56P': 'Christopher Tsai'},49652-56P
119120,118871,Rocketrip,58150-99,31492-27T,10/02/2014 00:00,,3.08,10.34,13.42,0.2291,0.97,,3.08,Venture Capital,Early Stage VC,Actual,Actual,"{'11135-71': 'Canaan Partners (Warren Lee)', '51017-50': 'Genacast Ventures (Daniel Ruch)', '40420-36': 'Y Combinator'}","Canaan Partners, Genacast Ventures, Y Combinator",,,,,,,"The company raised $3.075 million of Series A funding from lead investors Canaan Partners, Genacast Ventures, Y Combinator, and undisclosed individual investors on February 10, 2014, putting the pre-money valuation at $10.344 million.","The company was acquired by Mondee, via its financial sponsors Origami Capital Partners, The TCW Group and Morgan Stanley, through an LBO on September 9, 2020 for an undisclosed sum. Previously, the company was approved for a Paycheck Protection Program Loan in the range of $1-2 million from Coastal Community Bank on April, 28 2020.",{'47405-62P': 'Daniel Ruch'},47405-62P
119445,119196,SoundFocus,58452-49,31745-44T,19/02/2014 00:00,,1.7,,,,,,1.85,Venture Capital,Seed Round,Actual,,"{'106192-81': 'Alexander Gerko (Alexander Gerko)', '106114-06': 'Alexis Ohanian (Alexis Ohanian)', '56718-46': 'Amino Capital', '123481-18': 'Andy White (Andy White)', '61527-97': 'August One', '61568-83': 'Aventura VC', '119843-29': 'Benny Joseph (Benny Joseph)', '61590-34': 'Borbole Companies', '118868-23': 'Catherine Chang (Catherine Chang)', '106067-44': 'Chang Ng (Chang Ng)', '109231-48': 'Eric Chen (Eric Chen)', '105876-64': 'Eric Ries (Eric Ries)', '105890-77': 'Garry Tan (Garry Tan)', '105879-16': 'Greg Badros (Greg Badros)', '106568-74': 'Harj Taggar (Harj Taggar)', '114009-13': 'Jag Singh (Jag Singh)', '51639-67': 'Kapor Capital (Mitchell Kapor)', '105893-83': 'Mitchell Kapor (Mitchell Kapor)', '106164-28': 'Neville Taraporewalla (Neville Taraporewalla)', '61589-98': 'OVO Fund', '112982-32': 'Peter Livingston (Peter Livingston)', '119221-03': 'Robert Parker (Robert Parker)', '58386-79': 'RTA Capital', '51313-15': 'Sears Capital Management', '61590-16': 'Solarstone Ventures', '61590-25': 'Startup Studio Ventures', '54520-03': 'VTF Capital', '106133-50': 'Wayne Chang (Wayne Chang)', '40420-36': 'Y Combinator'}","Alexander Gerko, Alexis Ohanian, Amino Capital, Andy White, August One, Aventura VC, Benny Joseph, Borbole Companies, Catherine Chang, Chang Ng, Eric Chen, Eric Ries, Greg Badros, Harj Taggar, Jag Singh, Kapor Capital, Mitchell Kapor, Neville Taraporewalla, OVO Fund, Peter Livingston, Sears Capital Management, Solarstone Ventures, Startup Studio Ventures, VTF Capital, Wayne Chang",,,,,,,"The company raised $1.7 million of seed funding from Kapor Capital, Y-Combinator, Ovo Fund, RTA Capital, August Capital Partners, Vegas Tech Fund, Solarstone Ventures, ZPark Venture, Startup Studio Ventures, Borbole Companies, Fillmore Trust and individual investors: Greg Badros, Garry Tan, Alexis Ohanian, Catherine Chang, Peter Livingston, Alexander Gerko, Wayne Chang, Chang Ng, Eric Ries, Robert Parker, Aventura VC, Eric Chen, Benny Joseph, Jag Singh, Andy White and Harj Taggar on February 19, 2014.","The company filed for Chapter 7 bankruptcy on May 18, 2016 and is no longer actively tracked by PitchBook.",{'61944-49P': 'Alex Selig'},61944-49P
120053,119804,Move Loot,61277-23,32865-13T,05/03/2014 00:00,,2.8,,,,,,2.8,Venture Capital,Seed Round,Actual,,"{'106114-06': 'Alexis Ohanian (Alexis Ohanian)', '120974-68': 'Andrew Wang (Andrew Wang)', '56833-03': 'BoxGroup', '106113-43': 'David Tisch (David Tisch)', '106041-70': 'Elad Gil (Elad Gil)', '11189-44': 'First Round Capital (Joshua Kopelman)', '54886-96': 'FundersClub', '105890-77': 'Garry Tan (Garry Tan)', '49063-60': 'GV', '11216-98': 'Index Ventures', '121735-00': 'Jeff Heitzman (Jeff Heitzman)', '111971-35': 'Justin Darcy (Justin Darcy)', '119012-05': 'Paul Holliman (Paul Holliman)', '109859-05': 'Seth Ginns (Seth Ginns)', '50980-60': 'SV Angel', '40420-36': 'Y Combinator'}","Alexis Ohanian, Andrew Wang, BoxGroup, David Tisch, Elad Gil, First Round Capital, FundersClub, Garry Tan, GV, Index Ventures, Jeff Heitzman, Justin Darcy, Paul Holliman, Seth Ginns, SV Angel, Y Combinator","{'11189-44': 'First Round Capital (Joshua Kopelman)', '11216-98': 'Index Ventures'}",,,,,,"The company raised $2.8 million round of venture funding co-led by First Round Capital, FundersClub, BoxGroup, David Tisch and Index Ventures on March 5, 2014. Google Ventures, SV Angel and Y Combinator also participated. Seth Ginns, Andrew Wang, Paul Holliman, Justin Darcy and Jeff Heitzman also participated.","The company failed and was subsequently acquired by Handy through a fire sale for an undisclosed amount on June 29, 2016. Handy is backed by several VC investors.",{'60329-08P': 'William Bobbitt'},60329-08P
120237,119988,Webflow,58278-52,32161-24T,11/03/2014 00:00,25/08/2013 00:00,2.9,,,,,,2.9,Venture Capital,Seed Round,Actual,,"{'56718-46': 'Amino Capital', '106053-40': 'Benjamin Ling (Benjamin Ling)', '56010-97': 'Draper Associates (Timothy Draper)', '113017-06': 'Eric Bahn (Eric Bahn)', '224040-97': 'Felix Shpilman (Felix Shpilman)', '54886-96': 'FundersClub', '11227-60': 'Khosla Ventures', '53345-35': 'Rainfall', '119866-51': 'Silversmith Capital Partners', '106072-21': 'Timothy Draper (Timothy Draper)', '64037-44': 'Vaizra Capital', '40420-36': 'Y Combinator'}","Amino Capital, Benjamin Ling, Draper Associates, Eric Bahn, Felix Shpilman, FundersClub, Khosla Ventures, Rainfall, Silversmith Capital Partners, Timothy Draper, Vaizra Capital",,,,,,,"The company raised $2.9 million of seed funding from Silversmith Capital Partners, Vaizra Capital and Khosla Ventures on March 11, 2014. Draper Associates, FundersClub, Rainfall Ventures, Amino Capital, Y Combinator, Timothy Draper, Benjamin Ling and Eric Bahn also participated in the round.",Vaizra Capital sold a stake in the company to an undisclosed buyer in approximately April 2023.,{'52504-57P': 'Bryant Chou'},52504-57P
120317,120068,Vicarious,51577-03,32446-54T,13/03/2014 00:00,,40.03,220.82,260.85,0.1535,73.17,,75.03,Venture Capital,Early Stage VC,Actual,Actual,"{'105859-36': 'Aaron Levie (Aaron Levie)', '106033-87': 'Ashton Kutcher (Ashton Kutcher)', '106364-26': 'Bryan Johnson (Bryan Johnson)', '107540-47': 'Chih-Yuan Yang (Chih-Yuan Yang)', '106291-81': 'Dustin Moskovitz (Dustin Moskovitz)', '106277-41': 'Elon Musk (Elon Musk)', '42715-00': 'Felicis (Aydin Senkut)', '53858-62': 'Formation 8', '54726-76': 'Initialized Capital Management', '11227-60': 'Khosla Ventures (Vinod Khosla)', '40767-13': 'LeFrak', '106263-46': 'Mark Zuckerberg (Mark Zuckerberg)', '62068-06': 'Metaplanet Holdings', '50900-41': 'Open Field Capital', '102425-68': 'OS Fund (Bryan Johnson)', '108118-27': 'Peter Diamandis (Peter Diamandis)', '106062-40': 'Peter Thiel (Peter Thiel)', '105857-20': 'Sam Altman (Sam Altman)', '106363-27': 'Vinod Khosla (Vinod Khosla)', '40420-36': 'Y Combinator', '55055-17': 'Zarco Investment Group'}","Aaron Levie, Ashton Kutcher, Bryan Johnson, Chih-Yuan Yang, Elon Musk, Formation 8, Initialized Capital Management, Khosla Ventures, LeFrak, Mark Zuckerberg, Metaplanet Holdings, OS Fund, Peter Diamandis, Peter Thiel, Sam Altman, Vinod Khosla",,10,,,,,"The company raised $40 million of venture funding from Formation 8, Mark Zuckerberg, Vinod Khosla, Peter Thiel, Dustin Moskovitz, Ashton Kutcher, Felicis Ventures, Initialized Capital, Bryan Johnston, Y combinator, Aaron Levie, Sam Altman, Open Field Capital, OS Fund, Khosla Ventures, Zarco Investment Group, Peter Diamandis and Metaplanet Holdings on March 213, 2014, putting the pre-money valuation at $220.82 million. Jerry Yang and LeFrak also participated.","The company was acquired by Intrinsic for an undisclosed amount on April 22, 2022.",{'36566-02P': 'David Phoenix'},36566-02P
120708,120459,Zesty (Social/Platform Software),57702-70,102069-82T,25/03/2014 00:00,,3.7,,,,,,3.8,Venture Capital,Seed Round,Actual,,"{'50980-60': 'SV Angel', '40420-36': 'Y Combinator'}",SV Angel,,,,,,,The company raised $3.7 million of seed funding from Y Combinator and SV Angel on an undisclosed date.,"The company was acquired by Square (NYS: SQ) for an undisclosed amount on April 19, 2018. Square will use Zesty's assets to strengthen Caviar's corporate ordering business.",{'40515-13P': 'David Langer'},40515-13P
120862,120613,Unbabel,62118-46,35814-34T,28/03/2014 00:00,,1.5,8.5,10,0.15,0.55,,1.52,Venture Capital,Seed Round,Actual,Actual,"{'56718-46': 'Amino Capital', '101021-23': 'Caixa Capital', '51253-84': 'DG Ventures (Digital Garage Group)', '106041-70': 'Elad Gil (Elad Gil)', '60379-57': 'Faber Ventures', '54886-96': 'FundersClub', '49063-60': 'GV', '56748-88': 'Investo', '111971-35': 'Justin Darcy (Justin Darcy)', '111253-96': 'Kevin Rose (Kevin Rose)', '106239-52': 'Klaus von Sayn-Wittgenstein (Klaus von Sayn-Wittgenstein)', '11237-50': 'Matrix Partners (Jared Fliesler)', '119012-05': 'Paul Holliman (Paul Holliman)', '118436-23': 'Rakesh Agrawal (Rakesh Agrawal)', '106122-79': 'Raymond Tonsing (Raymond Tonsing)', '106642-27': 'Robert Emrich (Robert Emrich)', '106019-74': 'Roger Dickey (Roger Dickey)', '107752-33': 'Saad AlSogair (Saad AlSogair)', '109859-05': 'Seth Ginns (Seth Ginns)', '60241-15': 'Shilling (Portugal)', '119804-41': 'Stephan Morais (Stephan Morais)', '114243-85': 'Terrence Yang (Terrence Yang)', '119805-67': 'Tong Li (Tong Li)', '55684-81': 'Wefunder', '40420-36': 'Y Combinator'}","Amino Capital, Caixa Capital, DG Ventures (Digital Garage Group), Elad Gil, Faber Ventures, FundersClub, GV, Investo, Justin Darcy, Kevin Rose, Klaus von Sayn-Wittgenstein, Matrix Partners, Paul Holliman, Rakesh Agrawal, Raymond Tonsing, Robert Emrich, Roger Dickey, Saad AlSogair, Seth Ginns, Shilling (Portugal), Stephan Morais, Terrence Yang, Tong Li, Wefunder",,,,,,,"The company raised $1.5 million of seed funding from Investomex, Matrix Partners, and Y Combinator on March 28, 2014, putting the pre-money valuation at $8.5 million. Of the total funding, $23,800 was raised in equity crowdfunding via Wefunder. Caixa Capital, Google Ventures, DG Incubation, zPark Venture, Faber Ventures, Shilling Capital Partners, FundersClub, WeFunder and 17 individual investors also participated in the round. Originally raised as convertible debt, the funding subsequently converted into Series A1 preferred shares. Funds will be used to grow Unbabel's engineering and marketing teams in order to improve its core translation process and expand its customer base.",The company received an undisclosed amount of development capital from Explorer Investments in 2023. The funds will be utilized in the development of the company's translation platform.,{'35667-55P': 'Vasco Pedro'},35667-55P
121140,120891,Natero,62266-06,34482-88T,01/04/2014 00:00,28/03/2014 00:00,3.3,7.83,11.13,0.2965,0.49,,3.42,Venture Capital,Early Stage VC,Actual,Actual,"{'41716-90': 'Andreessen Horowitz', '51472-45': 'Merus Capital (Peter Hsing)', '107882-74': 'Salesforce Ventures', '40420-36': 'Y Combinator'}","Andreessen Horowitz, Merus Capital, Salesforce Ventures",,,,,,,"The company raised $3.3 million of Series A venture funding from Merus Capital, Salesforce Ventures and Andreessen Horowitz on April 1, 2014, putting the company's pre-money valuation at $7.83 million. Y Combinator also participated in this round.","The company was acquired by Freshworks for an undisclosed amount on May 21, 2019. The company is no longer actively tracked by PitchBook.",{'69080-86P': 'Craig Soules'},69080-86P
121492,121243,Theorem (Financial Services),161560-72,71882-74T,08/04/2014 00:00,,2.5,,,,,,2.62,Venture Capital,Seed Round,Actual,,"{'53715-43': 'DCVC', '54726-76': 'Initialized Capital Management', '106019-47': 'Max Levchin (Max Levchin)', '106104-88': 'Ronald Conway (Ronald Conway)', '105857-20': 'Sam Altman (Sam Altman)', '50980-60': 'SV Angel', '53946-64': 'Two Sigma Investments', '156736-99': 'Two Sigma Ventures', '40420-36': 'Y Combinator (Paul Buchheit)'}","DCVC, Initialized Capital Management, Max Levchin, Ronald Conway, Sam Altman, SV Angel, Two Sigma Investments, Two Sigma Ventures",,,,,,,"The company raised $2.5 million of seed funding from DCVC, Initialized Capital Management and Two Sigma Ventures on April 8, 2014. Y Combinato and 5 other undisclosed investors also participated in the round.","The company raised $2.5 million of seed funding from DCVC, Initialized Capital Management and Two Sigma Ventures on April 8, 2014. Y Combinato and 5 other undisclosed investors also participated in the round.",{'138398-41P': 'Hugh Edmundson'},138398-41P
121507,121258,Quora,53351-38,32901-31T,09/04/2014 00:00,,80,820,900,0.0889,5.9,,141,Venture Capital,Later Stage VC,Actual,Actual,"{'11133-01': 'Benchmark (San Francisco) (Matthew Cohler)', '105927-94': 'David Morin (David Morin)', '105939-37': 'David Sacks (David Sacks)', '106022-62': 'Jeff Hammerbacher (Jeff Hammerbacher)', '105983-38': 'Jeremy Stoppelman (Jeremy Stoppelman)', '11237-50': 'Matrix Partners (Josh Hannah)', '106070-77': 'Michael Birch (Michael Birch)', '11258-38': 'North Bridge Venture Partners (Jonathan Heiliger)', '106062-40': 'Peter Thiel (Peter Thiel)', '42873-94': 'Tiger Global Management', '40420-36': 'Y Combinator (Sam Altman)'}","David Morin, David Sacks, Jeremy Stoppelman, Michael Birch, Tiger Global Management, Y Combinator",{'42873-94': 'Tiger Global Management'},,,,,,"The company raised $80 million of Series C venture funding in a deal led by Tiger Global Management on April 9, 2014, putting the pre-money valuation at $820 million. Benchmark Capital, Matrix Partners, North Bridge Venture Partners, Y Combinator and 6 individual investors also participated in the round.","The company raised $12.76 million of mezzanine financing from BlackRock TCP Capital on September 30, 2019. Previously, the company raised $60 million of Series E venture funding from Valor Equity Partners, Yellowdog, and Bling Capital in 2019, putting the company's pre-money valuation at $1.94 billion. Craft Ventures and other undisclosed investors also participated in the round.","{'42326-65P': ""Adam D'Angelo""}",42326-65P
122261,122012,Rebel (New York),63612-91,34368-94T,29/04/2014 00:00,02/04/2014 00:00,2,6.16,8.16,0.2452,0.52,,2,Venture Capital,Seed Round,Actual,Actual,"{'53788-78': 'Boldstart Ventures', '56833-03': 'BoxGroup', '106113-43': 'David Tisch (David Tisch)', '14146-84': 'Deep Fork Capital', '106060-33': 'Gary Vaynerchuk (Gary Vaynerchuk)', '50980-69': 'Lerer Hippeau', '157278-70': 'Ore Ventures', '53345-35': 'Rainfall', '106415-47': 'Sean Glass (Sean Glass)', '63597-16': 'Vayner/RSE', '40420-36': 'Y Combinator'}","Boldstart Ventures, BoxGroup, David Tisch, Deep Fork Capital, Gary Vaynerchuk, Lerer Hippeau, Ore Ventures, Rainfall, Sean Glass, Vayner/RSE, Y Combinator","{'53788-78': 'Boldstart Ventures', '53345-35': 'Rainfall'}",,,,,,"The company raised $2 million of seed funding from lead investor Vaizra Ventures and BOLDstart Ventures on April 29, 2014, putting the company's pre-money valuation at $6.16 million. Lerer Hippeau Ventures, Box Group, Vayner/RSE, Deep Fork Capital, Sean Glass, Y Combinator, Gary Vaynerchuk, David Tisch, Ore Ventures and other undisclosed investors also participated.","The company was acquired by Salesforce (NYS: CRM) for an undisclosed sum on October 5, 2018. The company is no longer actively tracked by PitchBook.",{'68724-91P': 'Trever Faden'},68724-91P
122582,122333,Weave (NYS: WEAV),61545-88,34612-03T,05/05/2014 00:00,05/02/2014 00:00,5.98,29.89,35.87,0.1668,1.26,,6.08,Venture Capital,Later Stage VC,Actual,Actual,"{'118725-85': 'A.Capital Ventures', '42284-62': 'Fuel Capital', '54886-96': 'FundersClub', '105849-91': 'Gary Rubens (Gary Rubens)', '56078-47': 'Homebrew', '54726-76': 'Initialized Capital Management', '118491-40': 'Mike Edelhart', '50980-60': 'SV Angel', '102645-82': 'Utah Angels 2', '40420-36': 'Y Combinator'}","A.Capital Ventures, Fuel Capital, FundersClub, Gary Rubens, Homebrew, Initialized Capital Management, Mike Edelhart, SV Angel, Utah Angels 2",{'118725-85': 'A.Capital Ventures'},,,,,,"The company raised $5.98 million of Series A venture funding in a deal led by A.Capital Ventures on May 5, 2014, putting the company's pre-money valuation at $29.89 million. Homebrew, FUEL Capital, SV Angel, Initialized Capital Management, FundersClub, Y Combinator, Utah Angels 2, Gary Rubens and Mike Edelhart also participated in the round. The company intends to use the funds for new hires, expansion of sales and marketing efforts development of new innovations.","The company raised $120 million in its initial public offering on the New York Stock Exchange under the ticker symbol of WEAV on November 11, 2021. A total of 5,000,000 shares were sold at a price of $24 per share. After the offering, there was a total of 62,906,403 outstanding shares (excluding the over-allotment option) priced at $24 per share, valuing the company at $1.51 billion. The underwriters were granted an option to purchase up to an additional 750,000 shares from the company to cover over-allotments, if any. Industrial Investors Group also participated in this round .",{'61751-26P': 'Brandon Rodman'},61751-26P
122854,122605,MadeSolid,62119-00,32539-33T,12/05/2014 00:00,,1,1,2,,0.1,,1.02,Venture Capital,Seed Round,Actual,Actual,"{'121756-15': 'Adam Sharp (Adam Sharp)', '103921-48': 'Bay Area Advanced Manufacturers', '42988-78': 'Bodley Group', '105890-77': 'Garry Tan (Garry Tan)', '183715-30': 'Incendium Capital', '54726-76': 'Initialized Capital Management', '121735-00': 'Jeff Heitzman (Jeff Heitzman)', '106239-52': 'Klaus von Sayn-Wittgenstein (Klaus von Sayn-Wittgenstein)', '107752-33': 'Saad AlSogair (Saad AlSogair)', '40420-36': 'Y Combinator (Jessica Livingston)'}","Adam Sharp, Bay Area Advanced Manufacturers, Bodley Group, Garry Tan, Incendium Capital, Initialized Capital Management, Jeff Heitzman, Klaus von Sayn-Wittgenstein, Saad AlSogair",,,,,,,"The company raised $1 million of seed funding from Y Combinator, Initialized Capital Management, Garry Tan, Bay Area Advanced Manufacturers, Klaus von Sayn-Wittgenstein and Bodley Group on May 12, 2014, putting the pre-money valuation at $1 million. Saad AlSogair, Adam Sharp and Jeff Heitzman also participated. The company sold both preferred and common stock.","The company went out of businesses on May 1, 2016 and is no longer actively tracked by PitchBook.",{'63873-19P': 'Lance Pickens'},63873-19P
122889,122640,LearnSprout,54801-10,33836-14T,13/05/2014 00:00,,4.2,,,,,,7.99,Venture Capital,Early Stage VC,Actual,,"{'53858-62': 'Formation 8 (Brian Koo)', '58386-79': 'RTA Capital', '11292-58': 'Samsung Venture Investment', '40420-36': 'Y Combinator'}","RTA Capital, Y Combinator",,,,,,,"The company raised $4.2 million of Series A venture funding from Formation 8, RTA Capital, Samsung Ventures and Justin Tan on May 13, 2014. Follow on Philip Fund, Luke Shepard, AND Y Combinator also participated in the round.","The company was acquired by Apple (NASDAQ : AAPL) for an undisclosed amount on January 28, 2016. The company is no longer actively tracked by PitchBook.",{'42156-37P': 'Franklyn Chien'},42156-37P
123165,122916,CrowdMed,56618-65,25452-01T,20/05/2014 00:00,16/04/2013 00:00,2.4,,,,,,2.55,Venture Capital,Seed Round,Actual,,"{'41716-90': 'Andreessen Horowitz', '106041-70': 'Elad Gil (Elad Gil)', '66036-07': 'Emerson Collective', '11191-96': 'Greylock Partners', '11578-78': 'John S. and James L. Knight Foundation', '11227-60': 'Khosla Ventures', '11251-81': 'New Enterprise Associates', '433328-05': 'Patrick Dempsey (Patrick Dempsey)', '105857-20': 'Sam Altman (Sam Altman)', '50980-60': 'SV Angel', '40420-36': 'Y Combinator'}","Andreessen Horowitz, Elad Gil, Emerson Collective, Greylock Partners, John S. and James L. Knight Foundation, Khosla Ventures, New Enterprise Associates, Patrick Dempsey, Sam Altman, SV Angel",,,,,,,"The company raised $2.4 million of seed funding from New Enterprise Associates, Andreessen Horowitz and Greylock Partners on May 20, 2014. Khosla Ventures, John S. and James L. Knight Foundation, Y Combinator, Patrick Dempsey, Sam Altman, Elad Gil, SV Angel and Emerson Collective also participated in the round.","The company raised $403,471 of equity crowdfunding in the form of convertible debt via Wefunder in April 2017. Previously, the company raised an undisclosed amount of Series A venture funding from Mindset Ventures, AAF Management, and Swanhill Capital on February 20, 2017. Bioverge Ventures, Seed Group, and Brian Zisk also participated in the round.",{'48514-06P': 'Jared Heyman'},48514-06P
123210,122961,FutureAdvisor,54086-41,34059-61T,21/05/2014 00:00,,15.5,31.5,47,0.3298,1.3,,21.8,Venture Capital,Early Stage VC,Actual,Actual,"{'234830-98': 'Bling Capital', '57379-15': 'Caffeinated Capital', '58994-74': 'Canvas Ventures (Rebecca Lynn)', '10905-04': 'Eight Roads', '124929-64': 'F-Prime Capital (David Jegen)', '52370-29': 'Great Oaks Venture Capital', '11295-73': 'Sequoia Capital (Warren Hogarth)', '40420-36': 'Y Combinator'}","Bling Capital, Caffeinated Capital, Canvas Ventures, Eight Roads, F-Prime Capital, Great Oaks Venture Capital",{'58994-74': 'Canvas Ventures (Rebecca Lynn)'},20,,,,,"The company raised $15.5 million of Series B venture funding in a deal led led by Canvas Ventures on May 21, 2014, putting the company's pre-money valuation at $31.5 million. Y Combinator, F-Prime Capital Partners, Eight Roads Ventures, Caffeinated Capital, Rebecca Lynn, Bling Capital, Sequoia Capital, and other undisclosed investors also participated in this round.","The company was acquired by BlackRock (NYSE: BLK) for $152 million on September 2, 2015. The company is no longer actively tracked by PitchBook.",{'40595-50P': 'Bo Lu'},40595-50P
123356,123107,Cambly,61260-13,31226-23T,26/05/2014 00:00,,2.21,10,12.21,0.2703,1.51,,2.23,Venture Capital,Seed Round,Estimated,Actual,"{'56096-29': 'ACME Capital (Scott Stanford)', '222965-56': 'Avichal Garg', '58988-17': 'Cherubic Ventures', '57219-67': 'Etohum', '42284-62': 'Fuel Capital', '49063-60': 'GV', '55869-04': 'Haystack Management Company (Semil Shah)', '56748-88': 'Investo', '106133-05': 'Joe Greenstein (Joe Greenstein)', '224463-16': 'John Kobs (John Kobs)', '277615-72': 'Nimble Ventures', '105977-62': 'Rick Marini (Rick Marini)', '106008-13': 'Shervin Pishevar', '61225-03': 'Socialatom Ventures', '58362-22': 'Structure Capital', '50980-60': 'SV Angel', '40420-36': 'Y Combinator'}","ACME Capital, Avichal Garg, Cherubic Ventures, Etohum, Fuel Capital, GV, Haystack Management Company, Investo, Joe Greenstein, John Kobs, Nimble Ventures, Rick Marini, Shervin Pishevar, Socialatom Ventures, Structure Capital, SV Angel",,,,,,,"The company raised an estimated $2.21 million through a combination of Seed 1 & Seed 2 funding from GV, ACME Capital, and Haystack Management Company on May 26, 2014, putting the company's pre-money valuation at $10 million. Cherubic Ventures, Investo, Socialatom Ventures, Structure Capital, Fuel Capital, Y Combinator, Etohum, SV Angel, Shervin Pishevar, John Kobs, Avichal Garg, Rick Marini, Joe Greenstein, and Nimble Ventures also participated in the round.","The company raised $60 million of Series B venture funding through a combination of equity and debt from Thirtyfive Ventures, SHAKTI, and Benchmark on August 14, 2020, putting the company's pre-money valuation at $210 million. Bessemer Venture Partners and 5 other investors also participated in the round. Of the total amount, $20 million was raised in the form of debt. The funds will be used to expand operations and its business reach.",{'60230-71P': 'Kevin Law'},60230-71P
